window,variant,mase_pooled,mase_h1,mase_h3,mase_h6,reg_Bac,reg_Trung,reg_Nam,reg_avg,outbreak_mase,outbreak_bias,bias_all
outer,C0_control,0.9121,0.4387,0.9721,1.5474,1.4162,0.9789,0.8422,1.0791,2.9104,-18.1299,-2.3961
outer,C1_tweedie,0.9002,0.4352,0.9629,1.513,1.4287,0.9319,0.8629,1.0745,2.7755,-16.4727,-2.0846
outer,C2_weighted,0.9122,0.4855,0.9519,1.524,1.7078,0.9007,0.8983,1.1689,2.4803,-14.2316,-0.7415
outer,C3_blend_B3,0.9116,0.4242,0.9783,1.5635,1.1204,1.0862,0.7572,0.9879,3.2606,-21.0317,-3.0298
validation,C0_control,0.5126,0.3274,0.5035,0.7868,0.4762,0.2247,0.8655,0.5221,4.6046,-30.1209,-2.1291
validation,C1_tweedie,0.5241,0.3277,0.5077,0.8292,0.2661,0.2147,0.918,0.4663,4.7856,-31.4014,-2.627
validation,C2_weighted,0.5303,0.3626,0.5208,0.7847,0.7166,0.2584,0.8497,0.6083,4.4553,-28.7026,-1.5479
validation,C3_blend_B3,0.4926,0.3748,0.4757,0.6978,0.5032,0.3142,0.7171,0.5115,4.2829,-28.5452,-0.9366
