window,variant,mase_pooled,mase_h1,mase_h3,mase_h6,reg_Bac,reg_Trung,reg_Nam,reg_avg,outbreak_mase,outbreak_bias,bias_all
outer,V0_baseline,0.9325,0.446,0.9786,1.6093,1.9763,0.9789,0.8422,1.2658,2.9148,-17.91,-2.2252
outer,V1_scale_features,0.9815,0.4718,1.0919,1.5842,2.2445,1.021,0.8836,1.383,2.9687,-18.1142,-1.936
outer,V2_ratio_target,0.9553,0.5413,1.0014,1.5285,1.5531,1.024,0.8782,1.1518,2.8935,-17.0844,-1.6312
outer,V3_ratio_rel_features,0.9254,0.5099,0.9782,1.5172,1.4162,1.0278,0.8218,1.0886,2.9281,-18.023,-2.0396
validation,V0_baseline,0.5215,0.333,0.5131,0.8001,0.7589,0.2247,0.8655,0.6164,4.6052,-30.1,-2.0657
validation,V1_scale_features,0.535,0.3402,0.524,0.8233,0.5131,0.2073,0.9332,0.5512,4.789,-31.4587,-2.3388
validation,V2_ratio_target,0.5374,0.3657,0.5004,0.823,0.4561,0.2217,0.9264,0.5347,4.8193,-31.7882,-2.1762
validation,V3_ratio_rel_features,0.5197,0.3363,0.51,0.796,0.4762,0.2177,0.8896,0.5279,4.6941,-30.9631,-2.057
